date_of_death,new_deaths,cumulative_deaths,data_as_of,data_loaded_at
10/09/2020 12:00:00 AM,4,150,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
10/10/2020 12:00:00 AM,3,153,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
10/11/2020 12:00:00 AM,1,154,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
10/12/2020 12:00:00 AM,0,154,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
10/13/2020 12:00:00 AM,0,154,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
10/14/2020 12:00:00 AM,1,155,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
10/15/2020 12:00:00 AM,0,155,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
10/16/2020 12:00:00 AM,0,155,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
10/17/2020 12:00:00 AM,0,155,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
10/18/2020 12:00:00 AM,1,156,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
10/19/2020 12:00:00 AM,2,158,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
10/20/2020 12:00:00 AM,0,158,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
10/21/2020 12:00:00 AM,0,158,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
10/22/2020 12:00:00 AM,0,158,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
10/23/2020 12:00:00 AM,0,158,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
10/24/2020 12:00:00 AM,2,160,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
10/25/2020 12:00:00 AM,0,160,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
10/26/2020 12:00:00 AM,0,160,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
10/27/2020 12:00:00 AM,0,160,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
10/28/2020 12:00:00 AM,0,160,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
10/29/2020 12:00:00 AM,0,160,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
10/30/2020 12:00:00 AM,0,160,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
10/31/2020 12:00:00 AM,0,160,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
11/01/2020 12:00:00 AM,1,161,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
11/02/2020 12:00:00 AM,0,161,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
11/03/2020 12:00:00 AM,0,161,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
11/04/2020 12:00:00 AM,0,161,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
11/05/2020 12:00:00 AM,0,161,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
11/06/2020 12:00:00 AM,0,161,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
11/07/2020 12:00:00 AM,0,161,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
11/08/2020 12:00:00 AM,0,161,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
11/09/2020 12:00:00 AM,2,163,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
11/10/2020 12:00:00 AM,0,163,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
11/11/2020 12:00:00 AM,0,163,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
11/12/2020 12:00:00 AM,1,164,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
11/13/2020 12:00:00 AM,0,164,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
11/14/2020 12:00:00 AM,1,165,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
11/15/2020 12:00:00 AM,1,166,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
11/16/2020 12:00:00 AM,0,166,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
11/17/2020 12:00:00 AM,1,167,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
11/18/2020 12:00:00 AM,1,168,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
11/19/2020 12:00:00 AM,0,168,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
11/20/2020 12:00:00 AM,0,168,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
